id,name,pca_x,pca_y,tsne_x,tsne_y
doc_7466,동일숲속작은도서관,-0.30553126335144043,-0.1450757384300232,-35.33681869506836,-1.541644811630249
doc_26281,포도몰문화센터,0.11618781089782715,0.1258646696805954,2.34316349029541,-12.028225898742676
doc_1693,과천시민회관다목적체육관,0.3765772879123688,-0.170611172914505,48.454105377197266,-15.741358757019043
doc_6700,대흘2리마을문고,-0.2615712881088257,0.04078146815299988,-14.14992904663086,3.2878873348236084
doc_15852,식물그림책작은도서관,-0.22925058007240295,-0.09007055312395096,-25.640342712402344,-2.2357823848724365
doc_15590,스마트도서관,-0.22123868763446808,-0.15673139691352844,-43.15041732788086,5.506744384765625
doc_22407,장흥공공도서관,-0.26630064845085144,-0.051934655755758286,-20.613351821899414,-9.85473918914795
doc_22377,장천꽃박물관,0.0001423563517164439,0.23252533376216888,-2.833036184310913,13.692733764648438
doc_9953,발음작은도서관,-0.2947538495063782,-0.22317121922969818,-41.58025360107422,10.630241394042969
doc_18706,예술나무씨어터,0.0969499796628952,0.14459656178951263,-5.099833011627197,-15.158729553222656
doc_22333,장안문화예술촌,0.013996723107993603,0.3035992681980133,0.43726542592048645,-0.263342946767807
doc_6763,더큰북 어린이서점,-0.012291290797293186,-0.10679522901773453,-30.844398498535156,-19.169143676757812
doc_28670,화포해수욕장,0.1931571513414383,0.2735947072505951,24.248741149902344,0.9541316628456116
doc_15260,수원시체육회관,0.4256194233894348,-0.25886058807373047,54.724403381347656,-11.324183464050293
doc_1381,고양체육관,0.3734186589717865,-0.19906722009181976,45.71650695800781,-14.103246688842773
doc_11077,부산한마음스포츠센터수영장,0.3407273292541504,-0.14132900536060333,43.37938690185547,0.24875710904598236
doc_10411,별밭작은도서관,-0.12282684445381165,-0.1025368943810463,-45.71895217895508,12.15591049194336
doc_23296,주례1동작은도서관,-0.3253031373023987,-0.1340668499469757,-27.274141311645508,-12.855457305908203
doc_23322,주숲작은도서관,-0.34977737069129944,-0.16733776032924652,-31.99898338317871,-2.3928534984588623
doc_22249,장덕도서관,-0.20272716879844666,-0.0067232027649879456,-24.047544479370117,-1.5866361856460571
doc_18818,오늘잡은소 실내놀이시설,0.05496303364634514,-0.06123444437980652,12.026643753051758,-24.22138023376465
doc_6173,담양공공도서관,-0.24991817772388458,-0.09577885270118713,-36.67449188232422,-2.51359486579895
doc_13575,서초드살롱,-0.23807205259799957,-0.0838489830493927,-40.567745208740234,18.062252044677734
doc_22930,제주 뽀로로파크 실내놀이시설,0.05992618948221207,0.061428435146808624,13.855833053588867,-21.951648712158203
doc_22623,전하체육센터 내 유아놀이시설,0.20252209901809692,0.02327369712293148,14.178720474243164,-25.09722900390625
doc_811,경기도 친환경농산물유통센터 놀이터,0.15699569880962372,0.05981273576617241,19.295635223388672,-23.17582893371582
doc_19035,오정북카페,-0.22257253527641296,-0.06124565005302429,-43.48172378540039,1.8459254503250122
doc_26911,하늘샘작은도서관,-0.3396485447883606,-0.1793821007013321,-37.34537887573242,4.844634532928467
doc_4146,김용지기념관,-0.184707373380661,0.12421870231628418,-11.7210111618042,11.17395305633545
doc_22797,정암아트홀,0.13961201906204224,0.11321491003036499,46.4212646484375,5.041501045227051
doc_19130,옥토어린이문고,-0.20072060823440552,0.0022622104734182358,-21.23357582092285,-3.1589901447296143
doc_2541,광진구민체육센터,0.35901620984077454,-0.13189806044101715,63.11922836303711,-16.45560646057129
doc_6346,대구오페라단,-0.15391357243061066,-0.04076813906431198,-12.16887378692627,-7.080562114715576
doc_21111,의왕청소년수련관체육관,0.3668578863143921,-0.23716753721237183,53.08921813964844,-16.695032119750977
doc_17033,안양시립비산도서관,-0.14360210299491882,-0.10621640086174011,-35.28651809692383,22.36460304260254
doc_1734,과천시민회관빙상장,0.31729286909103394,-0.14213250577449799,47.513526916503906,-19.15399932861328
doc_6521,대전광역시평송청소년문화센터,0.20101694762706757,0.1400277316570282,3.101801872253418,-8.2506685256958
doc_22939,제주국제예술센터,0.01683158427476883,0.3288838267326355,-2.9744250774383545,-1.9394943714141846
doc_13655,석호생태관,0.08172299712896347,0.1436065286397934,11.047307968139648,-13.891268730163574
doc_17492,어린이교통교육장,-0.001979405526071787,0.08657006174325943,6.467501163482666,-16.20530891418457
doc_4063,길공예동양화전시,-0.10555067658424377,0.128236323595047,-9.802861213684082,8.100936889648438
doc_22714,정글대탐험,0.09618836641311646,0.2672650218009949,12.487611770629883,-1.6222047805786133
doc_4872,나뭇골,0.03862665221095085,0.28119269013404846,17.91400146484375,1.9664748907089233
doc_20045,우천면매화작은도서관,-0.19496561586856842,-0.07671598345041275,-31.646728515625,16.838951110839844
doc_11690,브리즈힐도서관,-0.2639017105102539,-0.17779536545276642,-38.966068267822266,12.62142276763916
doc_26065,팔영루,0.07680243998765945,0.2741834223270416,13.828113555908203,-8.642024993896484
doc_13110,서영영어전문작은도서관,-0.2331165373325348,-0.20051386952400208,-39.14220428466797,7.964962005615234
doc_1949,과천시민회관실내수영장,0.34716594219207764,-0.18746943771839142,48.74542999267578,-17.851116180419922
doc_12158,산돌문고,-0.2770591378211975,-0.05105263739824295,-20.496625900268555,11.566800117492676
doc_18641,예람작은도서관,-0.24721233546733856,-0.16238434612751007,-41.731590270996094,16.812536239624023
doc_15437,순비기전시관,-0.18439990282058716,0.19594185054302216,-0.8848912715911865,3.0395283699035645
doc_2862,구민체육센터,0.3736022114753723,-0.18154950439929962,56.84012985229492,-9.225802421569824
doc_3839,금성작은도서관,-0.2590402662754059,-0.17398583889007568,-24.969701766967773,14.097150802612305
